Date,Net_Worth
2026-05-11,106410.10000000000
2026-05-12,104040.20132446289
2026-05-12,103654.65090942383
2026-05-12,103654.65090942383
2026-05-13,104012.45053100586
2026-05-14,105471.93785095215
2026-05-15,104408.19035339355
2026-05-16,104408.19035339355
2026-05-18,103569.4289932251
2026-05-21,106564.42932891846
2026-05-22,107385.26917266846
2026-05-25,110073.87942504883
2026-05-26,109373.95570373535
2026-05-27,109827.29788208008
2026-05-28,109883.7494354248
2026-05-29,107409.69859313965
2026-05-31,107409.69859313965
